x,qxf,qxm
0,1.838206652,2.100389565
1,0.131111904,0.151190432
2,0.107943159,0.12623316
3,0.087163555,0.103807785
4,0.070186904,0.085361105
5,0.058183701,0.07233992
6,0.05052628,0.064156612
7,0.046439443,0.060086179
8,0.044191598,0.058147422
9,0.043567917,0.058329414
10,0.045346355,0.062072491
11,0.049583008,0.070072328
12,0.05735578,0.084837666
13,0.068122452,0.107043819
14,0.081274917,0.137409926
15,0.095814547,0.175638834
16,0.109551299,0.217890831
17,0.121103396,0.259659632
18,0.113641214,0.259617803
19,0.110364933,0.264919736
20,0.109082959,0.271451765
21,0.109115865,0.278413468
22,0.110386955,0.286510239
23,0.111895799,0.293886185
24,0.11348883,0.300562062
25,0.114762419,0.305517059
26,0.115148486,0.306898963
27,0.114960899,0.304922994
28,0.114509721,0.299838824
29,0.114164244,0.292331385
30,0.115360111,0.286075719
31,0.118383942,0.281773034
32,0.124195764,0.281688952
33,0.134096422,0.288491918
34,0.149456822,0.304467479
35,0.170893492,0.330059247
36,0.196745167,0.361666051
37,0.225632607,0.397188078
38,0.25579604,0.434547843
39,0.286475268,0.473840868
40,0.31838254,0.517678217
41,0.352191329,0.568532536
42,0.406920029,0.658470897
43,0.472798431,0.773500752
44,0.548108924,0.912643516
45,0.631359781,1.074492422
46,0.724217074,1.261832827
47,0.83087966,1.481148832
48,0.949431243,1.727671842
49,1.082835302,2.005349931
50,1.229300314,2.310560461
51,1.343772329,2.559022886
52,1.463542408,2.823196157
53,1.586054211,3.102754999
54,1.709474689,3.398814305
55,1.833370807,3.713512923
56,1.958942805,4.049805032
57,2.088537632,4.410247731
58,2.225401683,4.796715035
59,2.373464966,5.210477608
60,2.536849145,5.652119365
61,2.719734471,6.122508949
62,2.926301368,6.624571829
63,3.160123919,7.163063655
64,3.424422225,7.744881245
65,3.722244,8.378829997
66,4.057264746,9.075170866
67,4.435451964,9.846343067
68,4.865895972,10.70662806
69,5.361482379,11.6716887
70,5.939268167,12.75985025
71,6.61997468,13.99224049
72,7.426017703,15.39298955
73,8.377806781,16.98716183
74,9.490833499,18.80087116
75,10.7773993,20.86075695
76,12.25423959,23.19544953
77,13.95275457,25.83760686
78,15.92276291,28.82263756
79,18.23236841,32.18997934
80,20.96168604,35.98234946
81,24.21590265,40.2820243
82,28.08516695,45.14982524
83,32.6552114,50.65065604
84,38.00584494,56.85400675
85,44.21017752,63.83009499
86,51.33431017,71.64609188
87,59.44020337,80.36544285
88,68.58572119,90.04161106
89,78.82200281,100.709387
90,90.19667148,112.3837145
91,102.7551119,125.0563211
92,116.5512728,138.7105394
93,131.6458058,153.3285775
94,148.0970034,168.9107073
95,165.9394816,185.4844964
96,185.1387111,203.0772091
97,205.5775724,221.7005301
98,227.0676717,241.3422713
99,249.3886438,261.9651597
100,272.3501079,283.5113108
101,287.6794133,297.4553218
102,333.3660217,342.9046892
103,401.0744907,410.7615165
104,496.6977763,506.6975836
105,619.8247606,629.9639415
106,755.7483127,765.4578939
107,889.4139639,898.0767447
108,1000,1000
109,1000,1000
110,1000,1000
