x,recarbf,qxf,recarmf,lambdaf,recarbm,qxm,recarmm,lambdam
0,0.0975,1.96384,0.005,0.04,0.0975,1.9791825,0.005,0.04
1,0.0975,0.1308625,0.005,0.04,0.0975,0.1254475,0.005,0.04
2,0.0975,0.11191,0.005,0.04,0.0975,0.1083,0.005,0.04
3,0.0975,0.09386,0.005,0.04,0.0975,0.0929575,0.005,0.04
4,0.0975,0.0785175,0.005,0.04,0.0975,0.07942,0.005,0.04
5,0.0975,0.0658825,0.005,0.04,0.0975,0.06859,0.005,0.04
6,0.0975,0.0568575,0.005,0.04,0.0975,0.0604675,0.005,0.04
7,0.0975,0.0514425,0.005,0.04,0.0975,0.055955,0.005,0.04
8,0.0975,0.0478325,0.005,0.0395212,0.0975,0.0532475,0.005,0.04
9,0.0975,0.0478325,0.005,0.039077,0.0975,0.0532475,0.005,0.04
10,0.0975,0.048735,0.005,0.0388323,0.0975,0.055955,0.005,0.04
11,0.0975,0.048735,0.005,0.0388323,0.0975,0.055955,0.005,0.04
12,0.0975,0.052345,0.005,0.0387131,0.0975,0.06137,0.005,0.04
13,0.0975,0.05776,0.005,0.0386363,0.0975,0.0694925,0.005,0.04
14,0.0975,0.063175,0.005,0.0385336,0.0975,0.0821275,0.005,0.04
15,0.0975,0.0694925,0.005,0.0383665,0.0975,0.09747,0.005,0.04
16,0.0975,0.0767125,0.005,0.0381293,0.0975,0.11552,0.005,0.04
17,0.0975,0.0839325,0.005,0.0378425,0.0975,0.135375,0.005,0.04
18,0.0975,0.092055,0.005,0.0375411,0.0975,0.1579375,0.005,0.04
19,0.0975,0.0983725,0.005,0.0372641,0.0975,0.1805,0.005,0.04
20,0.0975,0.102885,0.005,0.0370457,0.0975,0.2012575,0.005,0.04
21,0.0975,0.106495,0.005,0.0369075,0.0975,0.2193075,0.005,0.04
22,0.0975,0.1092025,0.005,0.0368545,0.0975,0.232845,0.005,0.04
23,0.0975,0.1110075,0.005,0.0368734,0.0975,0.243675,0.005,0.04
24,0.0975,0.113715,0.005,0.0369371,0.0975,0.250895,0.005,0.04
25,0.0975,0.1164225,0.005,0.0370127,0.0975,0.25631,0.005,0.04
26,0.0975,0.1200325,0.005,0.0370703,0.0975,0.261725,0.005,0.04
27,0.0975,0.124545,0.005,0.0370911,0.0975,0.2680425,0.005,0.04
28,0.0975,0.1308625,0.005,0.0370685,0.0975,0.27436,0.005,0.04
29,0.0975,0.1380825,0.005,0.0370045,0.0975,0.283385,0.005,0.04
30,0.0975,0.1471075,0.005,0.036901,0.0975,0.294215,0.005,0.04
31,0.0975,0.1579375,0.005,0.0367504,0.0975,0.30685,0.005,0.04
32,0.0975,0.16967,0.005,0.0365308,0.0975,0.3221925,0.005,0.04
33,0.0975,0.18411,0.005,0.0362096,0.0975,0.33934,0.005,0.04
34,0.0975,0.2012575,0.005,0.0357546,0.0975,0.359195,0.005,0.04
35,0.0975,0.222015,0.005,0.0351476,0.0975,0.3835625,0.005,0.04
36,0.0975,0.2463825,0.005,0.0343947,0.0975,0.4124425,0.005,0.04
37,0.0975,0.27436,0.005,0.033528,0.0975,0.44764,0.005,0.04
38,0.0975,0.30685,0.005,0.0325993,0.0975,0.49096,0.005,0.04
39,0.0975,0.34295,0.005,0.0316672,0.0975,0.54511,0.005,0.04
40,0.0975,0.3835625,0.005,0.0307824,0.0975,0.61009,0.005,0.04
41,0.0975,0.4286875,0.005,0.0299739,0.0975,0.687705,0.005,0.04
42,0.0975,0.48013,0.005,0.0292417,0.0975,0.7770525,0.005,0.0391873
43,0.0975,0.53789,0.005,0.0285577,0.0975,0.88084,0.005,0.0382471
44,0.0975,0.601065,0.005,0.0278745,0.0975,0.9972625,0.005,0.0371642
45,0.0975,0.67146,0.005,0.0271392,0.0975,1.1290275,0.005,0.0359182
46,0.0975,0.74727,0.005,0.026309,0.0975,1.2752325,0.005,0.0344958
47,0.0975,0.828495,0.005,0.0253622,0.0975,1.43678,0.005,0.0328984
48,0.0975,0.91694,0.005,0.0243045,0.0975,1.61367,0.005,0.031162
49,0.0975,1.0108,0.005,0.0231687,0.0975,1.8077075,0.005,0.0293863
50,0.0975,1.110075,0.005,0.02201,0.0975,2.0170875,0.005,0.0276947
51,0.0975,1.214765,0.005,0.0208973,0.0975,2.243615,0.005,0.0261821
52,0.0975,1.323065,0.005,0.0199025,0.0975,2.4863875,0.005,0.0249181
53,0.0975,1.4358775,0.005,0.0190895,0.0975,2.745405,0.005,0.0239401
54,0.0975,1.5513975,0.005,0.0185043,0.0975,3.0188625,0.005,0.0232421
55,0.0975,1.6687225,0.005,0.0181693,0.0975,3.3076625,0.005,0.0227714
56,0.0975,1.7878525,0.005,0.0180823,0.0975,3.61,0.005,0.0224534
57,0.0975,1.9069825,0.005,0.01822,0.0975,3.9231675,0.005,0.0222164
58,0.0975,2.0243075,0.005,0.018546,0.0975,4.243555,0.005,0.0220193
59,0.0975,2.1398275,0.005,0.0190191,0.0975,4.564845,0.005,0.0218431
60,0.0975,2.25264,0.005,0.0196017,0.0975,4.88794,0.005,0.0216898
61,0.0975,2.27157449,0.005,0.020266,0.0973,5.214492627,0.005,0.0215817
62,0.0975,2.719273681,0.005,0.0209962,0.0965,5.963965076,0.005,0.0215527
63,0.0975,3.177724676,0.005,0.0217878,0.0954,6.702620131,0.005,0.0216339
64,0.0975,3.612342304,0.005,0.0226424,0.0938,7.425796135,0.005,0.0218393
65,0.0975,3.992017091,0.005,0.023562,0.0919,8.091977124,0.005,0.0221772
